LS Pattern,Frequencey,Percentage
"set(['L2_S27', 'L3_S29', 'L1_S24', 'L3_S32', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",186,0.0001571280373863356
"set(['L0_S23', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",3597,0.0030386534971970384
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S16', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",229,0.00019345333635199384
"set(['L0_S11', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L3_S33', 'L3_S32', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5', 'L3_S35'])",159,0.00013431912873348043
"set(['L0_S11', 'L2_S27', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L3_S34', 'L0_S4'])",834,0.0007045418450548597
"set(['L3_S35', 'L0_S11', 'L2_S27', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",831,0.000702007521871209
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S20', 'L0_S16', 'L3_S29', 'L3_S33', 'L3_S30', 'L0_S14', 'L3_S37', 'L3_S34', 'L3_S35'])",193,0.00016304145814818695
"set(['L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S15', 'L3_S29', 'L0_S21', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",3979,0.0033613573159152117
"set(['L0_S23', 'L0_S19', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S51', 'L3_S39', 'L3_S49', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S43', 'L3_S41', 'L3_S40'])",146,0.00012333706160432795
"set(['L3_S43', 'L3_S39', 'L3_S51', 'L0_S9', 'L0_S8', 'L3_S41', 'L3_S49', 'L3_S48', 'L3_S47', 'L0_S2', 'L3_S45', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5', 'L3_S40'])",343,0.00028975761733071565
"set(['L3_S35', 'L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L3_S32', 'L0_S8', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L0_S6', 'L3_S34', 'L0_S4'])",160,0.00013516390312803063
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S15', 'L3_S51', 'L3_S39', 'L3_S49', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S43', 'L3_S41', 'L3_S40'])",162,0.000136853451917131
"set(['L3_S35', 'L2_S27', 'L0_S10', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",771,0.0006513210581981976
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S50', 'L3_S51', 'L3_S39', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S43', 'L3_S41', 'L3_S40'])",177,0.0001495250678353839
"set(['L3_S36', 'L2_S26', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L0_S5'])",890,0.0007518492111496704
"set(['L3_S44', 'L3_S40', 'L0_S10', 'L3_S39', 'L3_S51', 'L0_S8', 'L3_S49', 'L3_S48', 'L3_S47', 'L0_S2', 'L3_S45', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S41', 'L0_S4'])",354,0.0002990501356707678
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L0_S20', 'L0_S16', 'L3_S50', 'L3_S51', 'L3_S39', 'L3_S48', 'L3_S47', 'L3_S45', 'L0_S14', 'L3_S43', 'L3_S41', 'L3_S40'])",182,0.00015374893980813484
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L0_S16', 'L0_S15', 'L3_S50', 'L3_S51', 'L3_S39', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S40', 'L3_S43', 'L3_S41', 'L0_S20'])",203,0.00017148920209368885
"set(['L3_S44', 'L0_S7', 'L0_S10', 'L3_S50', 'L3_S51', 'L3_S39', 'L3_S41', 'L0_S8', 'L3_S48', 'L0_S3', 'L0_S1', 'L0_S0', 'L3_S47', 'L3_S45', 'L0_S5', 'L3_S40'])",330,0.00027877555020156317
"set(['L0_S0', 'L0_S1', 'L3_S43', 'L0_S11', 'L3_S51', 'L3_S39', 'L3_S41', 'L3_S49', 'L3_S48', 'L0_S3', 'L3_S45', 'L0_S8', 'L3_S47', 'L0_S6', 'L0_S5', 'L3_S40'])",365,0.00030834265401081986
"set(['L0_S23', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S17', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",158,0.00013347435433893026
"set(['L0_S23', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S16', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",225,0.00019007423877379307
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S36', 'L3_S37', 'L3_S34'])",266,0.0002247099889503509
"set(['L0_S10', 'L2_S27', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S34', 'L0_S3', 'L3_S33', 'L0_S1', 'L0_S0', 'L0_S6', 'L0_S5', 'L3_S35'])",784,0.0006623031253273501
"set(['L0_S23', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S16', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34', 'L0_S20'])",173,0.00014614597025718311
"set(['L3_S35', 'L0_S10', 'L2_S27', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L0_S6', 'L3_S34', 'L0_S4'])",800,0.0006758195156401531
"set(['L0_S23', 'L0_S19', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S14', 'L3_S51', 'L3_S39', 'L3_S49', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S44', 'L3_S41', 'L3_S40'])",139,0.00011742364084247661
"set(['L0_S10', 'L2_S27', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L3_S34', 'L0_S4'])",820,0.0006927150035311569
"set(['L0_S23', 'L0_S19', 'L0_S13', 'L0_S12', 'L2_S26', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S36', 'L3_S37', 'L3_S34'])",149,0.00012587138478797853
"set(['L3_S35', 'L3_S31', 'L0_S11', 'L3_S37', 'L3_S29', 'L0_S8', 'L3_S33', 'L0_S2', 'L3_S30', 'L0_S0', 'L0_S7', 'L0_S1', 'L3_S34', 'L0_S4'])",490,0.0004139394533295938
"set(['L3_S44', 'L0_S7', 'L0_S8', 'L3_S51', 'L0_S9', 'L3_S39', 'L3_S41', 'L3_S49', 'L3_S48', 'L0_S3', 'L0_S1', 'L0_S0', 'L3_S47', 'L3_S45', 'L0_S5', 'L3_S40'])",322,0.0002720173550451616
"set(['L0_S22', 'L0_S20', 'L0_S18', 'L0_S13', 'L0_S12', 'L2_S27', 'L0_S16', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S37', 'L3_S34', 'L3_S35'])",194,0.00016388623254273712
"set(['L3_S35', 'L0_S10', 'L3_S30', 'L3_S37', 'L3_S29', 'L3_S38', 'L0_S8', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L0_S6', 'L3_S34', 'L0_S4'])",281,0.0002373816048686038
"set(['L0_S19', 'L0_S21', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S14', 'L3_S29', 'L3_S33', 'L3_S30', 'L3_S31', 'L3_S37', 'L3_S34', 'L3_S35'])",244,0.0002061249522702467
"set(['L0_S22', 'L0_S19', 'L0_S13', 'L0_S12', 'L0_S17', 'L0_S20', 'L0_S15', 'L3_S50', 'L3_S51', 'L3_S39', 'L3_S48', 'L3_S47', 'L3_S45', 'L3_S43', 'L3_S41', 'L3_S40'])",192,0.00016219668375363675
"set(['L2_S27', 'L3_S30', 'L3_S37', 'L3_S29', 'L0_S9', 'L0_S8', 'L3_S33', 'L0_S2', 'L0_S1', 'L0_S0', 'L3_S36', 'L0_S6', 'L3_S34', 'L0_S4'])",843,0.0007121448146058114
